Date / Time,Incident Number,Location,Nature,Incident ORI
2/24/2020 7:22,2020-00014271,ROOSEVELT ELEMENTARY SCHOOL,COP Problem Solving,OK0140200
2/24/2020 7:24,2020-00014272,201 WOODCREST DR,Follow Up,OK0140200
2/24/2020 7:34,2020-00014273,1920 ATCHISON DR,Disturbance/Domestic,OK0140200
2/24/2020 7:44,2020-00003077,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 7:44,2020-00014274,480 60TH AVE NE,Burglary,OK0140200
2/24/2020 7:52,2020-00014275,3700 W TECUMSEH RD,Runaway or Lost Child,OK0140200
2/24/2020 7:54,2020-00014286,13508 TIMBER VALLEY RD,Stolen Vehicle,OK0140200
2/24/2020 7:57,2020-00014284,1860 BARKLEY ST,Harassment / Threats Report,OK0140200
2/24/2020 7:59,2020-00014278,909 26TH AVE NW,Alarm,OK0140200
2/24/2020 8:00,2020-00014277,907 22ND ST SE,Animal Complaint,OK0140200
2/24/2020 8:11,2020-00014276,1504 E LINDSEY ST,Welfare Check,OK0140200
2/24/2020 8:19,2020-00014279,800 N PETERS AVE,COP Problem Solving,OK0140200
2/24/2020 8:20,2020-00014285,1707 N CRAWFORD AVE,Civil Standby,OK0140200
2/24/2020 8:22,2020-00014280,1302 VINE ST,Suspicious,OK0140200
2/24/2020 8:23,2020-00014281,S UNIVERSITY BLVD / W MAIN ST,Parking Problem,OK0140200
2/24/2020 8:41,2020-00014283,218 E EUFAULA ST,Parking Problem,OK0140200
2/24/2020 8:48,2020-00003078,900 ASP AVE,Falls,EMSSTAT
2/24/2020 8:48,2020-00002277,900 ASP AVE,Falls,14005
2/24/2020 8:51,2020-00003079,1050 RAMBLING OAKS DR,Unconscious/Fainting,EMSSTAT
2/24/2020 8:51,2020-00002278,1050 RAMBLING OAKS DR,Unconscious/Fainting,14005
2/24/2020 8:53,2020-00014290,810 BARBAROOT DR,Follow Up,OK0140200
2/24/2020 9:01,2020-00014287,201 W GRAY ST,Suspicious,OK0140200
2/24/2020 9:07,2020-00014288,E LINDSEY ST / BILOXI DR,Traffic Stop,OK0140200
2/24/2020 9:11,2020-00014289,2326 NASHVILLE DR,Disturbance/Domestic,OK0140200
2/24/2020 9:17,2020-00014294,224 W RIDGE RD,Parking Problem,OK0140200
2/24/2020 9:20,2020-00014292,201 W GRAY ST,Contact a Subject,OK0140200
2/24/2020 9:23,2020-00003080,500 E ROBINSON ST,Convulsion/Seizure,EMSSTAT
2/24/2020 9:23,2020-00002279,500 E ROBINSON ST,Convulsion/Seizure,14005
2/24/2020 9:33,2020-00014291,2821 36TH AVE NW,Larceny,OK0140200
2/24/2020 9:38,2020-00003081,2795 BROCE DR,Breathing Problems,EMSSTAT
2/24/2020 9:39,2020-00002280,2795 BROCE DR,Breathing Problems,14005
2/24/2020 9:40,2020-00014293,500 E ROBINSON ST,911 Call Nature Unknown,OK0140200
2/24/2020 9:45,2020-00014297,2400 12TH AVE NE,Supplement Report,OK0140200
2/24/2020 9:56,2020-00014295,3000 12TH AVE SE,COP Problem Solving,OK0140200
2/24/2020 10:07,2020-00014296,3200 VALLEY HOLLOW,Traffic Stop,OK0140200
2/24/2020 10:07,2020-00003082,620 S ELM AVE,Sick Person,EMSSTAT
2/24/2020 10:08,2020-00002281,620 S ELM AVE,Sick Person,14005
2/24/2020 10:09,2020-00014300,5555 SPRING MILL RD,Animal Trapped,OK0140200
2/24/2020 10:11,2020-00014298,3000 12TH AVE SE,Traffic Stop,OK0140200
2/24/2020 10:11,2020-00014299,2468 FRITZLAN RD,Trespassing,OK0140200
2/24/2020 10:13,2020-00014305,375 TRIAD VILLAGE DR,Fraud,OK0140200
2/24/2020 10:20,2020-00014301,OAK TREE AVE / SENIOR COTTAGES ACCESS,Traffic Stop,OK0140200
2/24/2020 10:21,2020-00014302,2700 OAK TREE AVE,Traffic Stop,OK0140200
2/24/2020 10:24,2020-00014303,2400 36TH AVE SE,Traffic Stop,OK0140200
2/24/2020 10:27,2020-00014304,3000 OAK TREE AVE,Traffic Stop,OK0140200
2/24/2020 10:31,2020-00003083,401 W BROOKS ST,Falls,EMSSTAT
2/24/2020 10:32,2020-00002282,401 W BROOKS ST,Falls,14005
2/24/2020 10:33,2020-00003084,2000 S I35 SB I,MVA With Injuries,EMSSTAT
2/24/2020 10:34,2020-00002283,2000 S I35 SB I,MVA With Injuries,14005
2/24/2020 10:41,2020-00014307,201 WOODCREST DR,Harassment / Threats Report,OK0140200
2/24/2020 10:42,2020-00014306,2700 OAK TREE AVE,Traffic Stop,OK0140200
2/24/2020 10:43,2020-00014310,209 E VIDA WAY,Larceny,OK0140200
2/24/2020 10:45,2020-00014308,837 E EUFAULA ST,Disturbance/Domestic,OK0140200
2/24/2020 10:46,2020-00014309,OAK TREE AVE / HAMPTON WOODS ACCESS,Traffic Stop,OK0140200
2/24/2020 10:54,2020-00014311,1871 ROLLING HILLS ST,Larceny,OK0140200
2/24/2020 10:57,2020-00014312,601 ALAMEDA ST,Suspicious,OK0140200
2/24/2020 11:00,2020-00014313,1002 24TH AVE SW,Traffic Stop,OK0140200
2/24/2020 11:00,2020-00014314,621 SUNRISE ST,COP Problem Solving,OK0140200
2/24/2020 11:02,2020-00014315,OAK TREE AVE / HAMPTON WOODS ACCESS,Traffic Stop,OK0140200
2/24/2020 11:06,2020-00014317,DORNOCH LN / ASTOR DR,Check Area,OK0140200
2/24/2020 11:07,2020-00014316,3000 OAK TREE AVE,Traffic Stop,OK0140200
2/24/2020 11:10,2020-00014320,533 CLEARVIEW DR,Animal Vicious,OK0140200
2/24/2020 11:10,2020-00014318,600 48TH AVE SE,Runaway or Lost Child,OK0140200
2/24/2020 11:12,2020-00014319,2400 WILCOX DR,Contact a Subject,OK0140200
2/24/2020 11:20,2020-00014321,2700 OAK TREE AVE,Traffic Stop,OK0140200
2/24/2020 11:21,2020-00014322,OAK TREE AVE / HAMPTON WOODS ACCESS,Traffic Stop,OK0140200
2/24/2020 11:38,2020-00003085,201 REED AVE,Overdose/Poisoning,EMSSTAT
2/24/2020 11:38,2020-00014323,201 REED AVE,Welfare Check,OK0140200
2/24/2020 11:39,2020-00002284,201 REED AVE,Overdose/Poisoning,14005
2/24/2020 11:42,2020-00014337,3012 SHADOWHILL ST,Fraud,OK0140200
2/24/2020 11:49,2020-00014343,901 N PORTER AVE,Escort/Transport,OK0140200
2/24/2020 11:50,2020-00014324,618 MORNINGSIDE DR,Supplement Report,OK0140200
2/24/2020 11:56,2020-00014336,1401 DON RAY RD,Burglary,OK0140200
2/24/2020 11:56,2020-00014325,4515 60TH AVE NE,Alarm,OK0140200
2/24/2020 12:00,2020-00014326,911 W MAIN ST,Contact a Subject,OK0140200
2/24/2020 12:03,2020-00014328,1300 E IMHOFF RD,Traffic Stop,OK0140200
2/24/2020 12:06,2020-00014329,333 INTERSTATE DR E,Contact a Subject,OK0140200
2/24/2020 12:06,2020-00003086,1561 N PORTER AVE,Chest Pain,EMSSTAT
2/24/2020 12:07,2020-00002285,1561 N PORTER AVE,Chest Pain,14005
2/24/2020 12:09,2020-00014330,100 N BERRY RD,COP Problem Solving,OK0140200
2/24/2020 12:12,2020-00003087,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 12:13,2020-00014331,621 SUNRISE ST,COP Problem Solving,OK0140200
2/24/2020 12:14,2020-00003096,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 12:17,2020-00014332,E GRAY ST / N PETERS AVE,Welfare Check,OK0140200
2/24/2020 12:20,2020-00014338,3220 CONESTOGA DR,Assault,OK0140200
2/24/2020 12:21,2020-00014327,1713 JENNIFER CIR,Contact a Subject,OK0140200
2/24/2020 12:22,2020-00014334,400 BUCHANAN AVE,Parking Problem,OK0140200
2/24/2020 12:24,2020-00003089,S JAMES GARNER AVE / W EUFAULA ST,MVA With Injuries,EMSSTAT
2/24/2020 12:24,2020-00014333,S JAMES GARNER AVE / W EUFAULA ST,MVA Non Injury,OK0140200
2/24/2020 12:27,2020-00002287,S JAMES GARNER AVE / W EUFAULA ST,MVA With Injuries,14005
2/24/2020 12:32,2020-00014340,810 BARBAROOT DR,Supplement Report,OK0140200
2/24/2020 12:32,2020-00014335,CLASSEN BLVD / ALAMEDA ST,Motorist Assist,OK0140200
2/24/2020 12:38,2020-00014341,3108 ROLLING WOODS DR,Contact a Subject,OK0140200
2/24/2020 12:39,2020-00014339,2208 BRIGGS ST,Parking Problem,OK0140200
2/24/2020 12:42,2020-00014370,901 N PORTER AVE,Escort/Transport,OK0140200
2/24/2020 12:45,2020-00014342,MOUNT VERNON DR / ALAMEDA ST,Contact a Subject,OK0140200
2/24/2020 12:51,2020-00014344,450 S FLOOD AVE,Fight,OK0140200
2/24/2020 12:52,2020-00014345,6221 INTERSTATE DR E,Contact a Subject,OK0140200
2/24/2020 12:55,2020-00003091,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 12:57,2020-00014346,450 S FLOOD AVE,Hit and Run,OK0140200
2/24/2020 13:11,2020-00014347,4800 36TH AVE NW,Traffic Stop,OK0140200
2/24/2020 13:17,2020-00014348,433 PAGE CIR,Parking Problem,OK0140200
2/24/2020 13:19,2020-00014355,1417 SAWGRASS DR,Alarm,OK0140200
2/24/2020 13:19,2020-00014349,610 RANCHO DR,Suspicious,OK0140200
2/24/2020 13:20,2020-00014351,201 WOODCREST DR,Drug Violation,OK0140200
2/24/2020 13:21,2020-00014361,209 COLLIER DR,Harassment / Threats Report,OK0140200
2/24/2020 13:22,2020-00014350,201 W GRAY ST,Item Assignment,OK0140200
2/24/2020 13:32,2020-00014352,W TECUMSEH RD / ASTOR DR / CASTLEROCK RD,Traffic Stop,OK0140200
2/24/2020 13:32,2020-00014356,E ROBINSON ST / N CRAWFORD AVE,MVA Non Injury,OK0140200
2/24/2020 13:32,2020-00014353,1878 ROLLING HILLS ST,Contact a Subject,OK0140200
2/24/2020 13:32,2020-00014354,12TH AVE NE / E ROCK CREEK RD,Animal Dead,OK0140200
2/24/2020 13:34,2020-00014357,S UNIVERSITY BLVD / W BOYD ST,Check Area,OK0140200
2/24/2020 13:35,2020-00014358,1726 CONCORD DR,Open Door/Premises Check,OK0140200
2/24/2020 13:39,2020-00014359,1205 E LINDSEY ST,Hit and Run,OK0140200
2/24/2020 13:43,2020-00003092,2206 BARTON ST,Fire Residential,EMSSTAT
2/24/2020 13:43,2020-00014360,2206 BARTON ST,Assist Fire,OK0140200
2/24/2020 13:44,2020-00002288,2206 BARTON ST,Fire Residential,14005
2/24/2020 13:46,2020-00014362,2820 MAJESTY CT,Animal Injured,OK0140200
2/24/2020 13:48,2020-00002289,2551 CLASSEN BLVD,Fire Fuel Spill,14005
2/24/2020 13:56,2020-00014363,MEDICAL PARK DR / W TECUMSEH RD,Disturbance/Domestic,OK0140200
2/24/2020 14:00,2020-00014364,1300 E IMHOFF RD,Traffic Stop,OK0140200
2/24/2020 14:00,2020-00003093,3700 12TH AVE SE,Chest Pain,EMSSTAT
2/24/2020 14:00,2020-00002290,3700 12TH AVE SE,Chest Pain,14005
2/24/2020 14:01,2020-00014365,3714 REID PRYOR RD,Follow Up,OK0140200
2/24/2020 14:07,2020-00014366,1130 E MISSOURI ST,Alarm,OK0140200
2/24/2020 14:12,2020-00014367,4200 LORINGS CIR,Traffic Stop,OK0140200
2/24/2020 14:24,2020-00014371,N BERRY RD / REGENT ST,Parking Problem,OK0140200
2/24/2020 14:27,2020-00014368,2400 E STATE HWY 9 HWY,Traffic Stop,OK0140200
2/24/2020 14:27,2020-00014369,4400 36TH AVE NW,Traffic Stop,OK0140200
2/24/2020 14:32,2020-00014372,503 24TH AVE NW,Harassment / Threats Report,OK0140200
2/24/2020 14:39,2020-00014373,1414 MCKINLEY AVE,Parking Problem,OK0140200
2/24/2020 14:40,2020-00014390,2851 GINGER DR,Animal at Large,OK0140200
2/24/2020 14:41,2020-00014374,4800 E STATE HWY 9 HWY,Traffic Stop,OK0140200
2/24/2020 14:44,2020-00014375,125 VICKSBURG AVE,Harassment / Threats Report,OK0140200
2/24/2020 14:50,2020-00014376,35.2214204333333;-97.44527675,Traffic Stop,OK0140200
2/24/2020 14:50,2020-00014377,35.2618459833333;-97.4995341,Traffic Stop,OK0140200
2/24/2020 14:55,2020-00014389,48TH AVE NE / ALAMEDA ST,Animal at Large,OK0140200
2/24/2020 14:56,2020-00003101,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
2/24/2020 14:58,2020-00003094,700 N BERRY RD,Stroke,EMSSTAT
2/24/2020 14:58,2020-00002291,700 N BERRY RD,Stroke,14005
2/24/2020 15:01,2020-00014378,191 12TH AVE NE,Drug Violation,OK0140200
2/24/2020 15:03,2020-00014379,700 NANCY LYNN TER,Traffic Stop,OK0140200
2/24/2020 15:05,2020-00014380,2200 CLASSEN BLVD,Larceny,OK0140200
2/24/2020 15:10,2020-00003095,1561 N PORTER AVE,Unconscious/Fainting,EMSSTAT
2/24/2020 15:10,2020-00002292,1561 N PORTER AVE,Unconscious/Fainting,14005
2/24/2020 15:12,2020-00014381,724 24TH AVE NW,Follow Up,OK0140200
2/24/2020 15:13,2020-00003097,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 15:15,2020-00014382,3200 W ROBINSON ST,Traffic Stop,OK0140200
2/24/2020 15:16,2020-00014384,926 N JONES AVE,Contact a Subject,OK0140200
2/24/2020 15:17,2020-00014383,1700 ALAMEDA ST,Traffic Stop,OK0140200
2/24/2020 15:17,2020-00003098,2431 60TH AVE NE,Traumatic Injury,EMSSTAT
2/24/2020 15:17,2020-00003099,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 15:18,2020-00002293,2431 60TH AVE NE,Traumatic Injury,14005
2/24/2020 15:21,2020-00014388,1726 SHEFFIELD CIR,Found Item,OK0140200
2/24/2020 15:26,2020-00014385,411 ELM AVE,Contact a Subject,OK0140200
2/24/2020 15:26,2020-00014387,103 MERKLE DR,Welfare Check,OK0140200
2/24/2020 15:28,2020-00014386,400 STINSON ST,Parking Problem,OK0140200
2/24/2020 15:36,2020-00014394,209 COLLIER DR,Harassment / Threats Report,OK0140200
2/24/2020 15:40,2020-00014396,813 S LAHOMA AVE,Parking Problem,OK0140200
2/24/2020 15:43,2020-00014392,420 LAWS DR,Larceny,OK0140200
2/24/2020 15:44,2020-00014391,1200 168TH AVE NE,COP Relationships,OK0140200
2/24/2020 15:51,2020-00003120,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 15:54,2020-00014393,207 E VIDA WAY,Suspicious,OK0140200
2/24/2020 16:01,2020-00002294,600 W TECUMSEH RD,Fire Alarm,14005
2/24/2020 16:02,2020-00014395,2361 ALAMEDA ST,Welfare Check,OK0140200
2/24/2020 16:08,2020-00014397,1308 BEAUMONT ST,Follow Up,OK0140200
2/24/2020 16:11,2020-00014398,4000 48TH AVE NW,Traffic Stop,OK0140200
2/24/2020 16:12,2020-00003100,15951 LITTLE AXE DR,Sick Person,EMSSTAT
2/24/2020 16:12,2020-00002295,15951 LITTLE AXE DR,Sick Person,14005
2/24/2020 16:14,2020-00014400,DA VINCI ST / N FLOOD AVE,Motorist Assist,OK0140200
2/24/2020 16:14,2020-00003102,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
2/24/2020 16:16,2020-00014401,229 W JOHNSON ST,Alarm,OK0140200
2/24/2020 16:19,2020-00003103,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 16:22,2020-00014402,1200 E BOYD ST,Traffic Stop,OK0140200
2/24/2020 16:22,2020-00014430,W MAIN ST / HAL MULDROW DR,Hit and Run,OK0140200
2/24/2020 16:23,2020-00014403,600 PARSONS ST,Parking Problem,OK0140200
2/24/2020 16:28,2020-00014404,2300 SPOONWOOD RD,Follow Up,OK0140200
2/24/2020 16:28,2020-00014405,W ROCK CREEK RD / ASHTON AVE,Traffic Stop,OK0140200
2/24/2020 16:29,2020-00014406,12TH AVE NE / E TECUMSEH RD,Motorist Assist,OK0140200
2/24/2020 16:42,2020-00003104,173 FELGAR ST,Abdominal Pains/Problems,EMSSTAT
2/24/2020 16:42,2020-00002296,173 FELGAR ST,Abdominal Pains/Problems,14005
2/24/2020 16:42,2020-00014407,600 RAMBLING OAKS DR,Traffic Stop,OK0140200
2/24/2020 16:43,2020-00014408,1511 HUNTINGTON WAY,Welfare Check,OK0140200
2/24/2020 16:45,2020-00014412,411 W SYMMES ST,Missing Person,OK0140200
2/24/2020 16:53,2020-00014410,1911 TWISTED OAK DR,Suspicious,OK0140200
2/24/2020 16:54,2020-00014414,1509 PINEWOOD DR,Contact a Subject,OK0140200
2/24/2020 16:55,2020-00003105,1776 E ROBINSON ST,Breathing Problems,EMSSTAT
2/24/2020 16:56,2020-00014420,1840 PARKRIDGE DR,Larceny,OK0140200
2/24/2020 16:56,2020-00002297,1776 E ROBINSON ST,Breathing Problems,14005
2/24/2020 16:57,2020-00014413,2116 OAKRIDGE DR,Supplement Report,OK0140200
2/24/2020 16:58,2020-00014411,W TECUMSEH RD / TIMBERIDGE DR,Traffic Stop,OK0140200
2/24/2020 17:00,2020-00014429,901 N PORTER AVE,Escort/Transport,OK0140200
2/24/2020 17:02,2020-00014415,219 E FERRILL LN,Fraud,OK0140200
2/24/2020 17:04,2020-00014416,333 INTERSTATE DR E,Disturbance/Domestic,OK0140200
2/24/2020 17:05,2020-00014418,2226 24TH AVE NW,Alarm,OK0140200
2/24/2020 17:07,2020-00014417,W TECUMSEH RD / N INTERSTATE DR,Reckless Driving,OK0140200
2/24/2020 17:09,2020-00003106,19601 WOODRIDGE DR,Breathing Problems,EMSSTAT
2/24/2020 17:09,2020-00002298,19601 WOODRIDGE DR,Breathing Problems,14005
2/24/2020 17:13,2020-00003107,1776 E ROBINSON ST,Sick Person,EMSSTAT
2/24/2020 17:13,2020-00014419,24TH AVE SE / E LINDSEY ST,Drunk Driver,OK0140200
2/24/2020 17:13,2020-00002299,1776 E ROBINSON ST,Sick Person,14005
2/24/2020 17:15,2020-00003109,2220 W IOWA ST; CHICKASHA,Transfer/Interfacility,EMSSTAT
2/24/2020 17:16,2020-00003113,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 17:17,2020-00014421,1219 ALAMEDA ST,Welfare Check,OK0140200
2/24/2020 17:23,2020-00014422,6475 36TH AVE NW,Stolen Vehicle,OK0140200
2/24/2020 17:23,2020-00003108,2118 W BROOKS ST,Breathing Problems,EMSSTAT
2/24/2020 17:23,2020-00002300,2118 W BROOKS ST,Breathing Problems,14005
2/24/2020 17:26,2020-00014424,1401 COLLEGE AVE,Fraud,OK0140200
2/24/2020 17:26,2020-00014423,2201 LINDENWOOD LN,Mutual Aid,OK0140200
2/24/2020 17:28,2020-00003110,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 17:38,2020-00014425,3700 PISTOL RANGE RD,COP Relationships,OK0140200
2/24/2020 17:40,2020-00014428,911 W MAIN ST,Runaway or Lost Child,OK0140200
2/24/2020 17:45,2020-00014426,1622 W LINDSEY ST,Drunk Driver,OK0140200
2/24/2020 17:49,2020-00014427,1022 BILOXI DR,Contact a Subject,OK0140200
2/24/2020 17:50,2020-00002301,1210 W ROBINSON ST,Fire Alarm,14005
2/24/2020 17:56,2020-00014435,3730 N PORTER AVE,Alarm,OK0140200
2/24/2020 17:56,2020-00002302,1210 W ROBINSON ST,Fire Alarm,14005
2/24/2020 17:58,2020-00003111,1906 144TH AVE SE,Breathing Problems,EMSSTAT
2/24/2020 17:58,2020-00014431,3600 120TH AVE NE,Traffic Stop,OK0140200
2/24/2020 17:58,2020-00002303,1906 144TH AVE SE,Breathing Problems,14005
2/24/2020 18:04,2020-00014433,1904 SHELBY CT,Disturbance/Domestic,OK0140200
2/24/2020 18:07,2020-00014434,1924 FROST LN,Fraud,OK0140200
2/24/2020 18:09,2020-00014443,321 ROSEWOOD DR,Supplement Report,OK0140200
2/24/2020 18:13,2020-00003112,2220 W IOWA ST; CHICKASHA,Transfer/Interfacility,EMSSTAT
2/24/2020 18:14,2020-00014437,2307 NASHVILLE DR,Disturbance/Domestic,OK0140200
2/24/2020 18:15,2020-00014436,12000 HICKORY RD,Traffic Stop,OK0140200
2/24/2020 18:16,2020-00014438,901 N PORTER AVE,Public Intoxication,OK0140200
2/24/2020 18:16,2020-00014439,911 W MAIN ST,Welfare Check,OK0140200
2/24/2020 18:18,2020-00002304,2001 WYCKHAM PL,Fire Alarm,14005
2/24/2020 18:19,2020-00014440,1205 E LINDSEY ST,MVA Non Injury,OK0140200
2/24/2020 18:37,2020-00014441,N PORTER AVE / E ROBINSON ST,Traffic Stop,OK0140200
2/24/2020 18:42,2020-00014442,125 VICKSBURG AVE,Larceny,OK0140200
2/24/2020 18:43,2020-00014444,901 N PORTER AVE,Escort/Transport,OK0140200
2/24/2020 18:53,2020-00014445,W LINDSEY ST / CHAUTAUQUA AVE,MVA Non Injury,OK0140200
2/24/2020 19:01,2020-00014447,1414 E LINDSEY ST,Welfare Check,OK0140200
2/24/2020 19:02,2020-00014446,7401 E STATE HWY 9 HWY,Traffic Stop,OK0140200
2/24/2020 19:02,2020-00014456,201 W GRAY ST,Fraud,OK0140200
2/24/2020 19:05,2020-00014457,2500 MEADOWOOD BLVD,Mutual Aid,OK0140200
2/24/2020 19:12,2020-00014449,2719 S PICKARD AVE,Suspicious,OK0140200
2/24/2020 19:18,2020-00003114,14150 STELLA RD,Falls,EMSSTAT
2/24/2020 19:18,2020-00002305,14150 STELLA RD,Falls,14005
2/24/2020 19:21,2020-00014450,2821 EATON DR,Disturbance/Domestic,OK0140200
2/24/2020 19:30,2020-00003115,2550 W FRANKLIN RD,Convulsion/Seizure,EMSSTAT
2/24/2020 19:30,2020-00002306,2550 W FRANKLIN RD,Convulsion/Seizure,14005
2/24/2020 19:31,2020-00014451,E HUGHBERT ST / N JONES AVE,Contact a Subject,OK0140200
2/24/2020 19:33,2020-00014452,201 WOODCREST DR,Open Door/Premises Check,OK0140200
2/24/2020 19:38,2020-00014458,515 24TH AVE NW,Warrant Service,OK0140200
2/24/2020 19:40,2020-00014453,707 OLIVER ST,Disturbance/Domestic,OK0140200
